WS-#,Site,Time,Date,pH,Type,deep C screen,Na mg/L,Mg mg/L,Al mg/L,Si mg/L,K mg/L,Ca mg/L,Mn mg/L,Fe mg/L,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L
193,A6,NA,2010-03-25T00:00:00Z,6.12,G1,NA,2.14,1.04,1.07,6.12,1.01,4.17,1.15,1.58,0.08,0.53,0,4.06,7.54,0.19,NA,NA,NA
374,A6,NA,2010-06-28T00:00:00Z,5.71,G1,NA,1.59,1.1,1.55,7.06,1.04,4.08,0.88,2.69,0.05,0.48,0,4.65,11.53,0.41,NA,NA,NA
464,A6,NA,2010-08-26T00:00:00Z,5.68,G1,NA,1.57,1.37,3.36,10.14,1.63,4.83,0.91,5.97,0.07,0.45,0,5.63,13.3,0.44,NA,NA,NA
465,A6,NA,2010-09-29T00:00:00Z,5.78,G1,NA,1.43,1.17,2.19,8.4,1.32,4.58,0.82,4.29,0.08,0.46,0,5.68,10.37,0.35,NA,NA,NA
601,A6,NA,2011-04-07T00:00:00Z,5.64,G1,NA,1.22,0.91,0.78,5.42,0.66,3.27,0.49,1.85,0.05,0.48,0,4.35,8.95,0.23,NA,NA,NA
641,A6,NA,2011-04-14T00:00:00Z,5.57,G1,NA,1.2,0.81,0.48,4.81,0.67,2.9,0.38,0.7,0.04,0.56,0.13,4,7.52,0.27,NA,NA,NA
665,A6,NA,2011-05-24T00:00:00Z,5.74,G1,NA,1.15,0.94,1.15,5.7,0.83,3.19,0.42,1.77,0.05,0.41,0.01,4.08,8.63,0.24,NA,NA,NA
691,A6,NA,2011-08-16T00:00:00Z,5.59,G1,NA,1.47,1.1,1.35,7.66,1.29,4.42,0.43,1.17,0.05,0.42,0.02,5.83,8.02,0.2,NA,NA,NA
697,A6,10:40:00,2011-08-29T00:00:00Z,5.76,G1,NA,1.68,1.13,1.42,7.59,1.22,4.46,0.42,1.54,0.04,0.44,0.01,5.38,8.16,0.19,NA,NA,NA
718,A6,NA,2011-11-04T00:00:00Z,5.74,G1,NA,1.52,1.1,1.07,6.52,0.98,4.16,0.45,0.92,0.05,0.41,0.09,4.57,8.68,0.25,NA,NA,NA
739,A6,NA,2012-02-01T00:00:00Z,5.85,G1,NA,1.49,1.02,0.56,5.78,0.71,3.67,0.4,0.5,0.04,0.43,0.01,4.18,8.04,0.16,NA,NA,NA
759,A6,NA,2012-03-22T00:00:00Z,5.93,G1,NA,1.73,1.05,0.4,5.77,0.72,3.82,0.39,0.37,0.05,0.45,0.01,4.52,6.95,0.15,NA,NA,NA
801,A6,NA,2012-04-24T00:00:00Z,5.98,G1,NA,1.46,0.95,0.62,6.46,0.71,3.69,0.36,0.55,0.03,0.45,0.01,4.69,7.06,0.14,NA,NA,NA
816,A6,NA,2012-07-31T00:00:00Z,NA,G1,NA,1.64,1.03,0.7,7.04,0.93,3.98,0.29,0.66,0.04,0.49,0,5.57,8.54,0.17,NA,NA,NA
826,A6,NA,2012-08-10T00:00:00Z,5.73,G1,NA,1.78,1.06,0.8,8.34,1.09,4.49,0.25,0.92,0.05,0.58,0.01,5.97,8.48,0.17,NA,NA,NA
1061,A6,09:30:00,2013-03-11T00:00:00Z,5.85,G1,NA,1.37,1,0.52,5.43,0.7,3.64,0.51,1.34,0.06,0.84,0.13,4.56,9.87,0.3,0.076,0.116,0.1
1106,A6,09:45:00,2013-03-12T00:00:00Z,5.78,G1,NA,1.34,1,0.88,6.05,0.69,3.28,0.53,1.5,0.05,0.71,0.02,4.99,9.57,0.3,0.073,0.128,NA
1105,A6,09:45:00,2013-03-12T00:00:00Z,4.2,G1,NA,0.72,0.24,0.89,4.09,0.16,0.54,0.01,0.59,0.06,0.58,3.8,3.65,14.51,1.1,0.009,0.616,NA
1197,A6,10:40:00,2013-03-13T00:00:00Z,5.08,G1,NA,1.32,0.93,0.58,5.39,0.63,3.24,0.5,1.4,0.04,0.71,0.07,4.84,8.91,0.3,0.079,0.106,0.095
1640,A6,NA,2013-04-01T00:00:00Z,5.88,G1,NA,1.48,0.97,0.35,5.35,0.73,3.4,0.46,0.59,0.03,0.64,0.32,4.58,6.94,0.32,0.073,0.092,NA
2631,A8,11:20:00,2014-08-04T00:00:00Z,5.49,G1,NA,1.3,0.17,0.57,2.65,0.18,0.69,0.01,0.02,0.15,0.24,0.35,2.43,30.78,0.64,0.021,NA,NA
2654,A8,09:10:00,2014-08-13T00:00:00Z,4.67,G1,NA,1.44,0.47,1.81,3.13,1,2.19,0.39,0.45,0.18,1.58,3.82,1.6,46.37,2.1,0.31,0.943,0.717
2655,A9,09:00:00,2014-08-13T00:00:00Z,5.62,G1,NA,4.68,0.13,0.78,2.05,1.82,0.71,0.12,0.38,0.21,1.31,1.22,2.45,39.89,4.71,0.65,0.253,0.246
190,N1,NA,2010-03-25T00:00:00Z,4.79,G1,NA,0.56,0.09,0.58,2.41,0.44,0.45,0.17,0.15,0.02,0.18,0.11,1.56,8.86,0.28,NA,NA,NA
380,N1,NA,2010-06-28T00:00:00Z,4.49,G1,NA,0.44,0.17,1.35,2.96,0.41,0.59,0.17,0.44,0.03,0.16,0.16,1.54,22.76,0.58,NA,NA,NA
456,N1,NA,2010-08-26T00:00:00Z,4.56,G1,NA,0.56,0.18,1.15,6.61,0.28,0.57,0.17,0.32,0.05,0.18,0.16,2.48,18.8,0.52,NA,NA,NA
467,N1,NA,2010-09-29T00:00:00Z,4.5,G1,NA,0.72,0.15,1.09,6.34,0.46,0.55,0.16,0.27,0.07,0.27,0,2.91,16.71,0.44,NA,NA,NA
606,N1,NA,2011-04-07T00:00:00Z,4.54,G1,NA,0.49,0.09,0.75,2.55,0.22,0.25,0.11,0.23,0.02,0.24,0.18,2.16,10.54,0.28,NA,NA,NA
637,N1,NA,2011-04-14T00:00:00Z,4.48,G1,NA,0.26,0.05,0.53,0.64,0.3,0.23,0.07,0.27,0.07,0.2,0.21,0.88,12.26,0.39,NA,NA,NA
661,N1,NA,2011-05-24T00:00:00Z,4.65,G1,NA,0.39,0.09,0.9,2.01,0.39,0.24,0.1,0.35,0.03,0.17,0.01,1,16.08,0.4,NA,NA,NA
672,N1,NA,2011-08-16T00:00:00Z,4.41,G1,NA,0.59,0.1,1.1,3.55,0.24,0.33,0.12,0.38,0.02,0.1,0.01,1.36,21.59,0.51,NA,NA,NA
700,N1,11:55:00,2011-08-29T00:00:00Z,4.4,G1,NA,0.36,0.08,0.98,2.95,0.19,0.28,0.08,0.41,0.06,0.1,0.01,1.13,18.9,0.45,NA,NA,NA
765,N1,NA,2012-03-22T00:00:00Z,4.72,G1,NA,0.35,0.08,0.63,1.67,0.61,0.25,0.11,0.24,0.02,0.27,1.23,1.58,11.18,0.59,NA,NA,NA
802,N1,NA,2012-04-24T00:00:00Z,4.67,G1,NA,0.4,0.12,0.69,2.28,0.84,0.35,0.16,0.26,0.07,0.53,0.54,1.71,15.59,0.54,NA,NA,NA
833,N1,NA,2012-08-10T00:00:00Z,4.32,G1,NA,0.35,0.07,0.81,2.95,0.13,0.22,0.08,0.4,0.04,0.15,0.03,1.27,22.61,0.58,NA,NA,NA
896,N1,10:45:00,2012-10-30T00:00:00Z,4.47,G1,NA,0.51,0.1,1.12,4.2,0.54,0.28,0.18,0.46,0.01,0.63,0,1.08,25.03,0.58,0.011,0.557,0.469
957,N1,10:24:00,2012-12-03T00:00:00Z,4.47,G1,NA,0.63,0.09,0.78,3.32,0.57,0.27,0.12,0.27,0.03,0.87,0.56,1.81,17.01,0.63,0.016,0.46,0.321
982,N1,12:24:00,2013-01-14T00:00:00Z,4.5,G1,NA,0.62,0.14,0.13,1.72,0.11,0.44,0.03,0.02,0.02,0.41,1.02,2.38,1.25,0.26,0.003,0.076,0.018
998,N1,10:05:00,2013-01-31T00:00:00Z,4.43,G1,NA,0.31,0.07,0.4,1.38,0.29,0.21,0.08,0.16,0.01,0.33,1.17,1.34,11.51,0.67,0.039,0.249,0.213
1019,N1,11:03:00,2013-03-11T00:00:00Z,5.13,G1,NA,0.54,0.1,0.34,4.78,0.3,0.24,0.12,0.13,0.02,0.52,0.28,2.51,7.71,0.29,0.003,0.157,NA
1649,N1,NA,2013-04-01T00:00:00Z,4.23,G1,NA,0.47,0.1,0.75,2.22,0.44,0.23,0.11,0.32,0.02,0.36,1.05,1.27,16.3,0.68,0.014,0.371,NA
1923,N1,NA,2013-04-11T00:00:00Z,NA,G1,NA,0.34,0.07,0.6,1.49,0.44,0.18,0.09,0.25,0.02,0.31,0.52,1.31,15.01,0.46,0.003,0.303,NA
2143,N1,NA,2013-06-28T00:00:00Z,4.19,G1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2426,N1,14:50:00,2013-11-07T00:00:00Z,4.2,G1,NA,0.85,0.12,1.18,5.51,0.4,0.31,0.08,0.5,0.03,0.59,0.37,1.45,NA,NA,NA,NA,NA
2485,N1,NA,2014-06-13T00:00:00Z,NA,G1,NA,0.62,0.15,0.92,3.21,0.4,0.36,0.09,0.53,0.03,0.47,1.08,0.96,26.08,0.84,0.017,NA,NA
2526,N1,NA,2014-06-14T00:00:00Z,4.81,G1,NA,0.65,0.15,0.91,3.32,0.41,0.32,0.11,0.44,0.04,0.27,0.27,0.96,23.66,0.57,0.008,0.442,0.357
2613,N1,12:50:00,2014-07-16T00:00:00Z,4.58,G1,NA,0.63,0.2,1.3,5.3,0.29,0.41,0.12,0.6,0.03,0.08,0.14,1.08,33.08,0.76,0.01,0.731,0.605
898,N3,10:55:00,2012-10-30T00:00:00Z,4.25,G1,NA,0.4,0.05,0.62,1.94,0.22,0.15,0.08,0.2,0.01,0.82,0.31,1.82,15.11,0.5,0.015,0.371,0.295
1068,N3,10:40:00,2013-03-11T00:00:00Z,4.17,G1,NA,0.78,0.29,1.03,3.52,0.75,0.73,0.42,0.1,0.06,0.57,13.03,2.68,7.31,3.25,0.02,0.795,0.202
1112,N3,10:50:00,2013-03-12T00:00:00Z,4.05,G1,NA,0.76,0.23,0.88,1.93,0.93,0.59,0.39,0.13,0.09,1.49,9.7,2.37,11.73,2.55,0.003,0.647,NA
1207,N3,11:39:00,2013-03-13T00:00:00Z,4.31,G1,NA,0.47,0.07,0.42,1.26,0.22,0.23,0.13,0.11,0.02,0.74,1.71,1.84,7.81,0.58,0.003,0.271,0.161
1374,N3,NA,2013-03-27T00:00:00Z,4.29,G1,NA,0.65,0.16,0.74,2.87,0.54,0.43,0.26,0.16,0.04,0.5,6.74,2.76,7.67,1.67,0.003,0.586,NA
1651,N3,NA,2013-04-01T00:00:00Z,4.27,G1,NA,0.47,0.09,0.54,1.29,0.43,0.23,0.15,0.17,0.02,0.47,2.44,1.62,10.81,0.86,0.023,0.313,NA
1925,N3,NA,2013-04-11T00:00:00Z,NA,G1,NA,0.44,0.06,0.47,1.23,0.26,0.16,0.1,0.14,0.02,0.41,0.86,1.93,9.26,0.42,0.003,0.231,NA
2109,N3,NA,2013-06-27T00:00:00Z,4.19,G1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.36,1.62,1.62,19.98,0.93,NA,NA,NA
2138,N3,NA,2013-06-28T00:00:00Z,4.2,G1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2413,N3,NA,2013-09-03T00:00:00Z,4.09,G1,NA,0.58,0.16,1.03,3.73,0.24,0.4,0.23,0.37,0.03,0.22,3.36,1.71,24.26,1.35,0.048,0.53,0.353
2428,N3,15:00:00,2013-11-07T00:00:00Z,3.99,G1,NA,0.63,0.15,1.03,3.02,0.43,0.36,0.2,0.28,0.04,0.45,4.97,1.89,19.78,1.56,NA,NA,NA
2486,N3,NA,2014-06-13T00:00:00Z,4.09,G1,NA,0.59,0.19,0.89,2.2,0.33,0.45,0.29,0.33,0.04,0.56,4.92,1.4,22.5,1.59,0.006,0.483,0.336
2528,N3,NA,2014-06-14T00:00:00Z,4.27,G1,NA,0.65,0.1,0.74,1.57,0.22,0.27,0.18,0.28,0.03,0.57,1.64,1.35,19.6,0.81,0.01,0.413,0.324
2571,N3,NA,2014-06-16T00:00:00Z,4.4,G1,NA,0.69,0.12,0.63,2.21,0.28,0.31,0.2,0.24,0.04,0.6,2.96,1.76,13.05,0.98,0.01,0.363,0.245
2614,N3,12:50:00,2014-07-16T00:00:00Z,4.03,G1,NA,0.44,0.14,1.25,3.07,0.12,0.41,0.26,0.51,0.03,0.22,1.4,1.09,36.87,1.13,0.011,0.738,0.587
2687,N3,12:45:00,2014-10-07T00:00:00Z,3.99,G1,NA,0.38,0.09,0.71,1.81,0.86,0.37,0.29,0.21,0.04,1.4,2.68,1.33,22.57,1.18,0.041,0.483,0.378
2688,N3,13:40:00,2014-10-07T00:00:00Z,4.03,G1,NA,0.33,0.07,0.65,1.58,0.6,0.28,0.23,0.2,0.03,1,1.63,1.35,20.62,0.92,0.012,0.422,0.336
2689,N3,14:40:00,2014-10-07T00:00:00Z,4.02,G1,NA,0.36,0.07,0.73,1.78,0.41,0.24,0.18,0.24,0.04,1.02,0.9,1.46,21.22,0.78,0.009,0.457,0.357
2690,N3,15:40:00,2014-10-07T00:00:00Z,4.02,G1,NA,0.37,0.07,0.8,1.97,0.32,0.23,0.17,0.29,0.04,1.01,0.69,1.48,22.62,0.74,0.01,0.484,0.378
2708,N3,08:00:00,2014-10-08T00:00:00Z,4.11,G1,NA,0.34,0.07,0.58,1.4,0.4,0.25,0.21,0.18,0.05,0.95,0.39,1.36,17.35,0.57,0.014,0.388,0.319
2709,N3,09:00:00,2014-10-08T00:00:00Z,4.09,G1,NA,0.35,0.06,0.57,1.45,0.31,0.22,0.18,0.18,0.03,0.96,0.23,1.54,16.02,0.47,0.007,0.351,0.283
2710,N3,10:00:00,2014-10-08T00:00:00Z,4.1,G1,NA,0.36,0.06,0.57,1.46,0.23,0.21,0.16,0.18,0.03,1,0.16,1.6,15.66,0.45,0.007,0.349,0.277
2711,N3,10:55:00,2014-10-08T00:00:00Z,4.1,G1,NA,0.37,0.06,0.57,1.49,0.19,0.19,0.15,0.18,0.03,0.97,0.15,1.57,15.58,0.44,0.007,0.336,0.266
716,O2,NA,2011-11-03T00:00:00Z,4.65,G1,NA,0.64,0.32,1.22,3.53,0.12,0.78,0.77,0.58,0.07,0.35,1.77,2.29,20.31,0.78,NA,NA,NA
737,O2,NA,2012-02-01T00:00:00Z,4.88,G1,NA,0.68,0.55,0.73,2.76,0.1,0.96,0.38,0.23,0.07,0.4,2.88,2.58,11.64,0.89,NA,NA,NA
762,O2,NA,2012-03-22T00:00:00Z,5.13,G1,NA,0.65,0.57,0.8,1.72,0.14,0.98,0.22,0.34,0.04,0.32,2.06,1.83,14.95,0.72,NA,NA,NA
784,O2,NA,2012-04-24T00:00:00Z,4.35,G1,NA,0.51,0.38,1.01,2.22,0.12,0.68,0.15,0.34,0.03,0.32,1.27,1.92,20.11,0.69,NA,NA,NA
814,O2,NA,2012-07-31T00:00:00Z,NA,G1,NA,0.62,0.48,1.11,4.07,0.13,0.91,0.21,0.31,0.04,0.29,0.01,1.8,23.64,0.42,NA,NA,NA
828,O2,NA,2012-08-10T00:00:00Z,4.75,G1,NA,0.56,0.35,1.2,2.8,0.04,0.74,0.23,0.44,0.05,0.21,0.03,1.86,25.89,0.49,NA,NA,NA
1067,O2,10:20:00,2013-03-11T00:00:00Z,4.73,G1,NA,0.86,0.7,0.74,3.62,0.14,0.8,0.18,0.26,0.05,0.43,3.76,2.98,13.43,1.09,0.007,0.398,0.28
1108,O2,10:20:00,2013-03-12T00:00:00Z,4.58,G1,NA,0.82,0.68,0.73,3.1,0.15,0.78,0.16,0.25,0.06,0.59,3.9,2.84,14.14,1.22,0.019,0.398,NA
1107,O2,10:20:00,2013-03-12T00:00:00Z,4.13,G1,NA,0.76,0.36,0.71,3.37,0.12,0.41,0.08,0.42,0.06,0.48,6.14,2.91,12.31,1.62,0.003,0.467,NA
1205,O2,11:15:00,2013-03-13T00:00:00Z,4.57,G1,NA,0.68,0.58,0.74,2.4,0.14,0.72,0.14,0.28,0.04,0.66,2.89,2.44,14.6,0.95,0.013,0.39,0.285
1647,O2,NA,2013-04-01T00:00:00Z,4.58,G1,NA,0.71,0.6,0.88,2.75,0.23,0.8,0.13,0.35,0.04,0.45,2.8,2.26,17.82,1.02,0.046,0.43,NA
1921,O2,NA,2013-04-11T00:00:00Z,NA,G1,NA,0.46,0.38,0.8,1.58,0.12,0.6,0.11,0.26,0.04,0.43,1.73,1.92,17.32,0.69,0.005,0.415,NA
2419,O2,NA,2013-09-03T00:00:00Z,4.24,G1,NA,0.8,0.3,1.61,3.92,0.1,0.66,0.26,0.67,0.04,0.19,0.32,1.35,36.04,0.72,0.014,0.682,0.541
2494,O2,NA,2014-06-13T00:00:00Z,4.26,G1,NA,0.67,0.37,1.23,2.52,0.08,0.58,0.09,0.61,0.05,0.3,1.57,1.24,30.25,0.82,0.008,0.64,0.512
2536,O2,NA,2014-06-14T00:00:00Z,4.32,G1,NA,0.9,0.33,1.26,2.46,0.1,0.58,0.09,0.59,0.04,0.33,1.19,1.14,31.88,0.73,0.008,0.666,0.526
2578,O2,NA,2014-06-16T00:00:00Z,4.56,G1,NA,0.74,0.51,1.26,2.98,0.14,0.88,0.1,0.46,0.07,0.38,0.02,2.56,25.29,0.42,0.012,0.666,0.498
2620,O2,11:40:00,2014-07-16T00:00:00Z,4.17,G1,NA,0.66,0.31,1.55,3.22,0.06,0.62,0.14,0.77,0.06,0.15,0.8,1.18,43.34,0.86,0.008,0.959,0.794
829,P1,NA,2012-08-10T00:00:00Z,4.43,G1,NA,0.19,0.08,0.43,1.1,0.12,0.48,0.21,0.13,0.03,0.26,0.4,1.87,9.81,0.5,NA,NA,NA
715,Q1,NA,2011-11-03T00:00:00Z,4.96,G1,NA,0.58,0.16,0.98,2.75,0.31,0.78,0.4,0.95,0.08,0.35,0.31,2.46,12.48,0.36,NA,NA,NA
734,Q1,NA,2012-02-01T00:00:00Z,5.15,G1,NA,0.64,0.19,0.7,2.56,0.23,0.63,0.08,0.26,0.09,0.46,2.66,2.27,8.96,0.79,NA,NA,NA
763,Q1,NA,2012-03-22T00:00:00Z,4.69,G1,NA,0.6,0.16,1.03,2.08,0.21,0.5,0.04,0.23,0.05,0.31,2.21,2.33,10.59,0.71,NA,NA,NA
803,Q1,NA,2012-04-24T00:00:00Z,4.58,G1,NA,0.54,0.15,1.15,2.57,0.28,0.43,0.02,0.18,0.04,0.44,1.71,2.24,11.73,0.67,NA,NA,NA
831,Q1,NA,2012-08-10T00:00:00Z,4.56,G1,NA,0.55,0.15,1.24,2.12,0.34,0.56,0.05,0.32,0.05,0.27,1.92,2.07,14.98,0.77,NA,NA,NA
2497,Q1,NA,2014-06-13T00:00:00Z,4.64,G1,NA,0.83,0.16,1.23,2.48,0.46,0.4,0.01,0.29,0.07,0.87,1.72,2.19,12.38,0.65,0.003,NA,NA
2539,Q1,NA,2014-06-14T00:00:00Z,4.68,G1,NA,0.84,0.15,1.28,2.26,0.43,0.4,0.01,0.29,0.05,0.59,1.74,2.01,12.62,0.64,0.003,0.823,0.385
192,A5,NA,2010-03-25T00:00:00Z,4.8,G2,NA,0.65,0.2,1.11,2.33,0.1,0.4,0.01,0.02,0.04,0.37,2.08,2.61,6.05,0.68,NA,NA,NA
373,A5,NA,2010-06-28T00:00:00Z,4.66,G2,NA,0.5,0.16,0.87,1.8,0.07,0.33,0.01,0.05,0.04,0.42,0.04,3.16,7.03,0.16,NA,NA,NA
466,A5,NA,2010-09-29T00:00:00Z,4.68,G2,NA,0.64,0.18,1.07,2.31,0.12,0.46,0.02,0.05,0.03,0.39,0.22,3.67,6.8,0.26,NA,NA,NA
602,A5,NA,2011-04-07T00:00:00Z,4.64,G2,NA,0.61,0.19,1.11,2.37,0.04,0.35,0.01,0.02,0.03,0.64,1.6,3.13,5.86,0.47,NA,NA,NA
640,A5,NA,2011-04-14T00:00:00Z,4.64,G2,NA,0.57,0.18,1.13,1.94,0.04,0.34,0.01,0.02,0.04,0.43,1.86,3.03,5.55,0.51,NA,NA,NA
664,A5,NA,2011-05-24T00:00:00Z,4.78,G2,NA,0.51,0.16,1.08,1.96,0.07,0.31,0.01,0.09,0.04,0.35,0.44,3.02,6.73,0.25,NA,NA,NA
690,A5,NA,2011-08-16T00:00:00Z,4.66,G2,NA,0.68,0.17,1.03,2.19,0.18,0.39,0.01,0.05,0.04,0.3,0.22,3.21,6.91,0.18,NA,NA,NA
719,A5,NA,2011-11-04T00:00:00Z,4.77,G2,NA,0.53,0.14,1.05,2.66,0.07,0.32,0.01,0.05,0.02,0.36,0.13,2.9,7.65,0.22,NA,NA,NA
738,A5,NA,2012-02-01T00:00:00Z,4.78,G2,NA,0.64,0.17,1.11,2.71,0.04,0.34,0.01,0.02,0.02,0.43,1.91,2.6,6.2,0.55,NA,NA,NA
758,A5,NA,2012-03-22T00:00:00Z,4.66,G2,NA,0.68,0.2,1.19,2.54,0.04,0.37,0.01,0.02,0.02,0.42,3.66,2.33,5.27,0.91,NA,NA,NA
797,A5,NA,2012-04-24T00:00:00Z,4.68,G2,NA,0.6,0.17,1.01,2.64,0.04,0.35,0.01,0.02,0.03,0.46,1.84,2.34,6.1,0.59,NA,NA,NA
825,A5,NA,2012-08-10T00:00:00Z,4.65,G2,NA,0.65,0.17,1.02,2.45,0.08,0.38,0.01,0.05,0.06,0.27,0.11,3.41,7.25,0.2,NA,NA,NA
826,A5,NA,2012-08-10T00:00:00Z,4.65,G2,NA,0.65,0.17,1.02,2.45,0.08,0.38,0.01,0.05,0.06,0.27,0.11,3.41,7.25,0.2,NA,NA,NA
894,A5,10:10:00,2012-10-30T00:00:00Z,4.82,G2,NA,0.63,0.16,1.01,2.76,0.09,0.34,0.01,0.02,0.01,0.55,0.16,3.03,8.06,0.28,0.016,0.593,0.255
1104,A5,09:30:00,2013-03-12T00:00:00Z,4.74,G2,NA,0.62,0.17,0.99,2.56,0.04,0.34,0.01,0.02,0.09,0.58,3.01,2.52,5.36,0.81,0.003,0.692,NA
1103,A5,09:30:00,2013-03-12T00:00:00Z,4.67,G2,NA,0.61,0.16,0.99,2.39,0.02,0.28,0.01,0.02,0.07,0.6,2.84,2.39,5.2,0.76,0.003,0.695,NA
1195,A5,10:24:00,2013-03-13T00:00:00Z,4.7,G2,NA,0.64,0.17,1.11,2.65,0.05,0.35,0.01,0.05,0.05,0.58,2.39,2.69,6.6,0.7,0.003,0.683,0.214
1637,A5,NA,2013-04-01T00:00:00Z,4.74,G2,NA,0.66,0.18,1.12,2.7,0.12,0.35,0.01,0.02,0.05,0.57,2.09,2.35,6.15,0.67,0.003,0.746,NA
1914,A5,NA,2013-04-11T00:00:00Z,NA,G2,NA,0.65,0.18,1.14,2.5,0.06,0.34,0.01,0.02,0.08,0.56,2.23,2.32,6.25,0.64,0.003,0.708,NA
2396,A5,NA,2013-09-03T00:00:00Z,4.86,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.38,0.24,2.78,8.2,0.24,0.007,NA,NA
2461,A5,NA,2014-06-13T00:00:00Z,4.71,G2,NA,0.68,0.19,1.11,2.46,0.13,0.49,0.01,0.02,0.05,0.67,1.62,2.65,7.57,0.54,0.008,NA,NA
2501,A5,NA,2014-06-14T00:00:00Z,4.87,G2,NA,0.71,0.2,1.06,2.19,0.13,0.41,0.01,0.02,0.04,0.58,1.84,2.44,6.38,0.59,0.003,0.694,0.196
2544,A5,NA,2014-06-16T00:00:00Z,4.63,G2,NA,0.65,0.18,1.09,2.27,0.12,0.41,0.01,0.02,0.08,0.89,1.98,2.41,6.45,0.56,0.003,0.732,0.196
2589,A5,10:45:00,2014-07-16T00:00:00Z,5.28,G2,NA,0.65,0.18,1.13,2.46,0.1,0.44,0.01,0.02,0.03,0.56,1.22,2.96,7.66,0.5,0.012,0.725,0.229
2629,A5,11:50:00,2014-08-04T00:00:00Z,4.76,G2,NA,0.6,0.19,1.06,2.12,0.09,0.45,0.01,0.02,0.01,0.44,1.5,2.51,7.1,0.51,0.003,0.637,0.213
191,N2,NA,2010-03-25T00:00:00Z,4.94,G2,NA,0.47,0.05,0.48,1.27,0.16,0.18,0.09,0.01,0.02,0.28,0.56,2.02,2.69,0.26,NA,NA,NA
372,N2,NA,2010-06-28T00:00:00Z,4.67,G2,NA,0.38,0.07,0.48,1.22,0.11,0.26,0.11,0.03,0.02,0.23,0.21,2.18,3.76,0.19,NA,NA,NA
468,N2,NA,2010-09-29T00:00:00Z,4.67,G2,NA,0.41,0.05,0.54,1.27,0.2,0.23,0.08,0.02,0.05,0.3,0.72,2.65,3.15,0.28,NA,NA,NA
605,N2,NA,2011-04-07T00:00:00Z,4.66,G2,NA,0.49,0.06,0.61,1.42,0.05,0.17,0.1,0.02,0.03,0.59,1.86,2.26,1.66,0.45,NA,NA,NA
636,N2,NA,2011-04-14T00:00:00Z,4.73,G2,NA,0.42,0.05,0.56,1.12,0.11,0.16,0.09,0.02,0.01,0.36,1.35,2.34,2.17,0.36,NA,NA,NA
662,N2,NA,2011-05-24T00:00:00Z,4.75,G2,NA,0.42,0.06,0.48,1.24,0.12,0.17,0.08,0.02,0.02,0.26,0.52,2.36,2.99,0.23,NA,NA,NA
673,N2,NA,2011-08-16T00:00:00Z,4.62,G2,NA,0.52,0.05,0.54,1.53,0.21,0.19,0.07,0.02,0.01,0.22,0.8,2.21,4.14,0.33,NA,NA,NA
699,N2,11:30:00,2011-08-29T00:00:00Z,4.67,G2,NA,0.39,0.05,0.44,1.26,0.12,0.2,0.08,0.02,0.01,0.19,0.2,2.13,3.12,0.17,NA,NA,NA
741,N2,NA,2012-02-01T00:00:00Z,4.85,G2,NA,0.45,0.08,0.78,1.67,0.07,0.24,0.14,0.02,0.01,0.44,4.44,1.73,1.62,1.04,NA,NA,NA
766,N2,NA,2012-03-22T00:00:00Z,4.68,G2,NA,0.46,0.08,0.72,1.47,0.16,0.22,0.16,0.02,0.01,0.34,3.81,1.87,2.4,0.94,NA,NA,NA
791,N2,NA,2012-04-24T00:00:00Z,4.76,G2,NA,0.44,0.08,0.6,1.75,0.38,0.25,0.16,0.02,0.02,0.57,2.95,1.76,2.5,0.76,NA,NA,NA
834,N2,NA,2012-08-10T00:00:00Z,4.56,G2,NA,0.28,0.07,0.6,1.61,0.15,0.29,0.14,0.02,0.02,0.23,1.01,2.38,5.41,0.38,NA,NA,NA
861,N2,NA,2012-10-09T00:00:00Z,4.89,G2,NA,0.32,0.04,0.33,1.52,0.07,0.26,0.12,0.02,0.02,0.3,0.12,2.46,2.32,0.13,0,0.351,0.047
870,N2,NA,2012-10-22T00:00:00Z,4.66,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.46,0.12,2.28,2.58,0.16,0.002,0.368,0.053
897,N2,10:35:00,2012-10-30T00:00:00Z,4.76,G2,NA,0.33,0.03,0.49,1.71,0.05,0.18,0.08,0.02,0,0.43,0.6,2.06,3.08,0.27,0.002,0.399,0.066
940,N2,13:24:00,2012-11-06T00:00:00Z,4.87,G2,NA,0.38,0.03,0.52,1.54,0.14,0.22,0.1,0.02,0.02,0.64,0.4,2.18,2.21,0.25,0.003,0.325,0.039
958,N2,10:41:00,2012-12-03T00:00:00Z,4.73,G2,NA,0.6,0.17,0.29,2.31,0.62,1.47,0.03,0.02,0.02,0.66,1.96,1.91,2.77,0.56,0.003,0.51,0.064
983,N2,12:44:00,2013-01-14T00:00:00Z,4.72,G2,NA,0.8,0.17,0.07,2.47,0.53,0.85,0.01,0.02,0.05,0.29,1.58,2.75,2.22,0.42,0.003,0.047,0.029
