WINTER,Date,STA1,STA2,STA3,STA4,STA5,STA6,STA7,STA8,STA9,STA10,STA11,STA12,STA13,STA14,STA15,STA16,STA17,STA19,STA20,STA21,STAHQ
2015,2015-02-03,-99,158,-99,-99,-99,-99,-99,-99,206,-99,-99,-99,-99,-99,-99,-99,239,210,-99,-99,140
2015,2015-02-10,-99,207,-99,-99,-99,-99,-99,-99,272,-99,-99,-99,-99,-99,-99,-99,252,247,-99,-99,165
2015,2015-02-19,-99,197,-99,-99,-99,-99,-99,-99,273,-99,-99,-99,-99,-99,-99,-99,303,262,-99,-99,221
2015,2015-02-26,-99,226,-99,-99,-99,-99,-99,-99,305,-99,-99,-99,-99,-99,-99,-99,296,301,-99,-99,221
2015,2015-03-02,-99,245,-99,-99,-99,-99,-99,-99,315,-99,-99,-99,-99,-99,-99,-99,321,319,-99,-99,214
2015,2015-03-09,-99,247,-99,-99,-99,-99,-99,-99,306,-99,-99,-99,-99,-99,-99,-99,310,301,-99,-99,180
2015,2015-03-16,-99,190,-99,-99,-99,-99,-99,-99,285,-99,-99,-99,-99,-99,-99,-99,307,288,-99,-99,133
2015,2015-03-23,-99,207,-99,-99,-99,-99,-99,-99,290,-99,-99,-99,-99,-99,-99,-99,322,327,-99,-99,109
2015,2015-03-31,-99,200,-99,-99,-99,-99,-99,-99,280,-99,-99,-99,-99,-99,-99,-99,320,288,-99,-99,101
2015,2015-04-02,-99,186,-99,-99,-99,-99,-99,-99,272,-99,-99,-99,-99,-99,-99,-99,300,250,-99,-99,72
2015,2015-04-06,-99,121,-99,-99,-99,-99,-99,-99,240,-99,-99,-99,-99,-99,-99,-99,297,236,-99,-99,56
2015,2015-04-13,-99,93,-99,-99,-99,-99,-99,-99,225,-99,-99,-99,-99,-99,-99,-99,311,235,-99,-99,0
2015,2015-04-20,-99,0,-99,-99,-99,-99,-99,-99,14,-99,-99,-99,-99,-99,-99,-99,272,58,-99,-99,0
2015,2015-04-27,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
2016,2016-01-04,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,52,60,-99,-99,0
2016,2016-01-11,-99,43,-99,-99,-99,-99,-99,-99,20,-99,-99,-99,-99,-99,-99,-99,45,53,-99,-99,30
2016,2016-01-19,-99,86,-99,-99,-99,-99,-99,-99,99,-99,-99,-99,-99,-99,-99,-99,95,101,-99,-99,50
2016,2016-01-26,-99,81,-99,-99,-99,-99,-99,-99,91,-99,-99,-99,-99,-99,-99,-99,90,94,-99,-99,55
2016,2016-02-01,-99,68,-99,-99,-99,-99,-99,-99,85,-99,-99,-99,-99,-99,-99,-99,80,70,-99,-99,16
