WINTER,Date,STA2
1978,1978-03-06,88
1978,1978-03-13,66
1978,1978-03-20,69
1978,1978-03-28,79
1978,1978-04-03,80
1978,1978-04-10,78
1978,1978-04-17,49
1978,1978-04-24,11
1978,1978-05-01,0
1978,1978-05-08,NA
1978,1978-05-16,NA
1979,1978-12-05,22
1979,1978-12-18,30
1979,1979-01-03,45
1979,1979-01-15,45
1979,1979-01-29,82
1979,1979-02-12,95
1979,1979-02-28,98
1979,1979-03-07,67
1979,1979-03-12,78
1979,1979-03-19,65
1979,1979-03-26,12
1979,1979-04-03,14
1979,1979-04-10,31
1979,1979-04-17,10
1979,1979-04-23,0
1979,1979-04-30,NA
1979,1979-05-07,NA
1979,1979-05-15,NA
1980,1980-01-07,0
1980,1980-01-14,0
1980,1980-01-21,0
1980,1980-01-28,0
1980,1980-02-19,15
1980,1980-02-25,21
1980,1980-03-03,21
1980,1980-03-10,34
1980,1980-03-17,54
1980,1980-03-24,41
1980,1980-03-31,19
1980,1980-04-07,2
1980,1980-04-14,0
1980,1980-04-21,NA
1980,1980-04-28,NA
1980,1980-05-05,NA
1980,1980-05-12,NA
1980,1980-05-19,NA
1981,1980-12-08,1
1981,1980-12-15,5
1981,1980-12-22,16
1981,1980-12-29,25
1981,1981-01-05,28
1981,1981-01-12,28
1981,1981-01-19,29
1981,1981-01-26,29
1981,1981-02-03,28
1981,1981-02-09,43
1981,1981-02-17,28
1981,1981-02-23,0
1981,1981-03-02,14
1981,1981-03-09,14
1981,1981-03-16,14
1981,1981-03-23,10
1981,1981-03-30,0
1981,1981-04-06,NA
1981,1981-04-14,NA
1981,1981-04-20,NA
1981,1981-04-27,NA
1981,1981-05-04,NA
1981,1981-05-13,NA
1981,1981-05-18,NA
1982,1981-12-07,31
1982,1981-12-14,29
1982,1981-12-21,38
1982,1981-12-28,54
1982,1982-01-06,79
1982,1982-01-11,76
1982,1982-01-18,76
1982,1982-01-25,88
1982,1982-02-02,100
1982,1982-02-08,110
1982,1982-02-16,119
1982,1982-02-22,116
1982,1982-03-01,114
1982,1982-03-08,130
1982,1982-03-15,125
1982,1982-03-22,132
1982,1982-03-29,118
1982,1982-04-05,102
1982,1982-04-12,129
1982,1982-04-19,74
1982,1982-04-26,0
1982,1982-05-03,NA
1982,1982-05-10,NA
1982,1982-05-17,NA
1983,1983-01-17,8
1983,1983-01-24,19
1983,1983-01-31,18
1983,1983-02-08,21
1983,1983-02-14,15
1983,1983-02-23,23
1983,1983-02-28,22
1983,1983-03-07,9
1983,1983-03-14,24
1983,1983-03-21,0
1983,1983-03-29,15
1983,1983-04-05,0
1983,1983-04-12,0
1983,1983-04-18,0
1983,1983-04-27,NA
1983,1983-05-05,NA
1983,1983-05-11,NA
1983,1983-05-16,NA
1983,1983-05-25,NA
1984,1984-01-03,25
1984,1984-01-09,30
1984,1984-01-16,41
1984,1984-01-23,42
1984,1984-01-31,49
1984,1984-02-06,55
1984,1984-02-13,53
1984,1984-02-21,28
1984,1984-02-26,18
1984,1984-03-05,36
1984,1984-03-12,31
1984,1984-03-20,53
1984,1984-03-26,39
1984,1984-04-03,23
1984,1984-04-09,2
1984,1984-04-17,0
1984,1984-04-23,0
1984,1984-04-30,NA
1984,1984-05-07,NA
1984,1984-05-15,NA
1984,1984-05-21,NA
1985,1984-12-10,NA
1985,1984-12-11,13
1985,1984-12-14,NA
1985,1984-12-17,10
1985,1984-12-24,33
1985,1984-12-31,4
1985,1985-01-07,12
1985,1985-01-14,19
1985,1985-01-21,27
1985,1985-01-28,32
1985,1985-02-04,34
1985,1985-02-11,40
1985,1985-02-19,45
1985,1985-02-25,30
1985,1985-03-04,22
1985,1985-03-11,36
1985,1985-03-18,39
1985,1985-03-25,28
1985,1985-04-01,5
1985,1985-04-08,6
1985,1985-04-15,0
1985,1985-04-23,NA
1985,1985-04-29,NA
1985,1985-05-07,NA
1985,1985-05-13,NA
1986,1985-12-16,18
1986,1985-12-23,20
1986,1985-12-30,26
1986,1986-01-06,45
1986,1986-01-13,42
1986,1986-01-21,31
1986,1986-01-28,36
1986,1986-02-03,35
1986,1986-02-10,38
1986,1986-02-19,40
1986,1986-02-24,60
1986,1986-03-03,57
1986,1986-03-10,71
1986,1986-03-17,77
1986,1986-03-24,66
1986,1986-03-31,8
